"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"216","Normal/Others","WS/MP18157/2024-2025/163223-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","8RCC Sitting Bench, Ward no-48 (New Ward no-43), Distt. Ludhiana","02-Jan-2025","44660","10-Feb-2025"
"217","Normal/Others","WS/MP18157/2024-2025/163225-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","9RCC Sitting Bench, Ward no-49 (New Ward no-44), Distt. Ludhiana","02-Jan-2025","50000","10-Feb-2025"
"218","Normal/Others","WS/MP18157/2024-2025/163227-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","9RCC Sitting Bench, Ward no-50 (New Ward no-43), Distt. Ludhiana","02-Jan-2025","50000","10-Feb-2025"
"219","Normal/Others","WS/MP18157/2024-2025/163229-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","9RCC Sitting Bench, Ward no-51 (New Ward no-46), Distt. Ludhiana","02-Jan-2025","50000","10-Feb-2025"
"220","Normal/Others","WS/MP18157/2024-2025/163231-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","9RCC Sitting Bench, Ward no-52 (New Ward no-47), Distt. Ludhiana","02-Jan-2025","50000","10-Feb-2025"
"221","Normal/Others","WS/MP18157/2026-2027/276671-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","4RCC Sitting Bench In Vill. Ghungrana, Block Pakhowal, Distt. Ludhiana","30-Mar-2026","20000","04-Aug-2026"
"222","Normal/Others","WS/MP18157/2026-2027/276675-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","6RCC Sitting Bench In Park of Vill. Boparai Kalan, Block Sudhar, Distt. Ludhiana","30-Mar-2026","25000","30-Jul-2026"
"223","Normal/Others","WS/MP18157/2026-2027/260367-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of RCC Sitting Bench in Park of Ward no. 46, Halka Atam Nagar, Distt. Ludhiana","20-Jan-2026","106000","09-Jul-2026"
"224","Normal/Others","WS/MP18157/2026-2027/260371-Fitting of Sitting RCC Benches in Public Places","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","31RCC Sitting Bench in GTB Park, Ward no. 74, Halka Central, Distt. Ludhiana","20-Jan-2026","175000","19-May-2026"
"225","Normal/Others","WS/MP18157/2024-2025/172359-Security gates in streets/public place for safety purpose","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation of Convex Mirrors in Village Bhattian Bet, Block              Ludhiana-1, Distt. Ludhiana","04-Feb-2025","250000","17-Mar-2025"
"226","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles with Drain From Main Road Phirni to house of Joginder Singh in Village Assa Buttar, Distt. Sri Muktsar Sahib.","28-Jan-2025","685000","NA"
"227","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles From House of Jarnail Singh to house of Gurdas Singh via house of Jagseer Singh and house of Gagandeep Singh in Vill. Gurri Sangar Distt. Sri Muktsar Sahib","28-Jan-2025","575000","NA"
"228","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles with Drain From Peori to Loolbai Road via house of Raja Singh in Village Peori, Distt. Sri Muktsar Sahib.","28-Jan-2025","410000","NA"
"229","Normal/Others","NA-Purchase of mobile water tankers","Punjab","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of 5000Lt Water tank with fire extinguisher at Village Warring, Constituency Sri Muktsar sahib, Distt. Sri Muktsar Sahib","12-Mar-2025","250000","NA"
"230","Normal/Others","NA-Construction of public irrigation facilities","Punjab","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","PVC pipes and other material for flood protection work in water-logged area of Vill. Khuia Sarwar, Distt. Fazilka","17-Sep-2025","249623","NA"
"231","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles from Buttar Dharamshala to Nankana Pond, Vill. Chhattiana, Distt. Sri Muktsar Sahib","17-Sep-2025","300000","NA"
"232","Normal/Others","NA-Providing supply pipelines for drinking water","Punjab","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of water pipeline for lift pump From Harphul-Kulbir field to Harmeet Singh-Joginder field, Vill. Husnar, Distt. Sri Muktsar Sahib","17-Sep-2025","924000","NA"
"233","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street by laying Interlock tiles From Dhulkot Mallan Chowk to Dhani Tarlochan Singh in Vill Mallan, Distt. Sri Muktsar Sahib","17-Sep-2025","550000","NA"
"234","Repair and Renovation","NA-Construction of common work sheds/ common covered sitting area","Punjab","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Repair of Cremation Ground Ward no. 09, Gidderbaha, Distt. Sri Muktsar Sahib","17-Sep-2025","200000","NA"
"235","Normal/Others","NA-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","50 tons of annealed wire for strengthening the embankments of the Satluj river for flood prevention in Vill. Ruknewala Kalan, tehsil zira, block makhu, Distt. Ferozepur","22-Sep-2025","300000","NA"
"236","Normal/Others","NA-Installation of multi-gym equipment","Punjab","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of Indoor Gym Machines in Vill. Khokhar, Sri Muktsar Sahib","01-Dec-2025","300000","NA"
"237","Normal/Others","NA-Providing drains and gutters for public drainage","Punjab","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provision for cleaning of pond, construction of retaining wall, and lining work in In Village Babanian, Halka Gidderbaha, District Sri Muktsar Sahib.","09-Feb-2026","500000","NA"
"238","Normal/Others","NA-Purchase of non-conventional energy system and devices for community use","Punjab","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provision of New Generator In Ward no. 18, Halka Gidderbaha, District Sri Muktsar Sahib.","27-Mar-2026","500000","NA"
"239","Normal/Others","NA- Providing sports equipment, except consumable items","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning for purchase of table tennis table for hall at District sports office Complex in Hans Raj Stadium, Civil Lines Jalandhar","19-Jun-2026","500000","NA"
"240","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Construction of Street with interlocking tiles From house of Sukhdip Singh-Gurtej Singh to house of Gurpreet Singh-Harnek Singh, Vill. Kothe Phula Singh Wale, Kotli Ablu, Halka Gidderbaha, District Sri Muktsar Sahib.","23-Jun-2026","85000","NA"
"241","Normal/Others","NA-Purchase of mobile water tankers","Punjab","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provisioning of 5000Lt Mobile Water Tank In Swami Anant Prakash Gaushala, Vill. Kotli Ablu, Distt. Muktsar Sahib","12-Aug-2026","350000","NA"
"242","Normal/Others","NA-Purchase of mobile water tankers","Punjab","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provision of Sitting bench, Street lights & Drinking Water Tank at Baba Vahimi Peer, Chhattiana Play Ground in Vill. Chhattiana, Gidderbaha, Sri Muktsar Sahib.","18-Aug-2026","300000","NA"
"Grand Total"," "," "," "," "," "," "," "," "," ","9,32,19,872"
