"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"43","Normal/Others","WS/MP18157/2026-2027/260363-Installing tube-wells and borewells","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation 12.50 HP Water Borewell Pump In Sherpur Khurd, ward no. 32, Halka South, Distt. Ludhiana","20-Jan-2026","655817","15-May-2026"
"44","Normal/Others","WS/MP18157/2026-2027/260364-Installing tube-wells and borewells","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation 12.50 HP Water Borewell Pump In Street no. 4A, Parbhat Nagar, Ward no. 31, Halka South,  Distt. Ludhiana","20-Jan-2026","675000","07-Apr-2026"
"45","Normal/Others","WS/MP18157/2026-2027/260386-Installing tube-wells and borewells","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","At near Manocha Chakki, Azad Nagar, Ward no. 52, Halka Atam Nagar, Distt. Ludhiana","20-Jan-2026","675000","23-Jul-2026"
"46","Normal/Others","WS/MP18157/2024-2025/163242-Installing tube-wells and borewells","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation 25 HP Water Borewell Pump, Ward no-94, Distt. Ludhiana","02-Jan-2025","1249000","10-Mar-2025"
"47","Normal/Others","WS/MP18157/2025-2026/157068-Installing tube-wells and borewells","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation 12.5 HP Water Borewell Pump at Gul Chaman Gali, Ward no-56, Distt. Ludhiana","05-Dec-2024","675000","01-Apr-2025"
"48","Normal/Others","WS/MP18157/2025-2026/178657-Installing tube-wells and borewells","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation 25 HP Water Borewell Pump at Banda bahadar Nagar, St. no.2, Phambra Road, Ward no. 02, Distt. Ludhiana","03-Mar-2025","1350000","16-May-2025"
"49","Normal/Others","WS/MP18157/2025-2026/178658-Installing tube-wells and borewells","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation 25 HP Water Borewell Pump at Rajiv Gandhi Colony, HE Colony, Ward no. 26, Distt. Ludhiana","03-Mar-2025","1350000","15-May-2025"
"50","Normal/Others","WS/MP18157/2025-2026/178659-Installing tube-wells and borewells","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation 25 HP Water Borewell Pump at Atal Nagar, Ward no. 07, Distt. Ludhiana","03-Mar-2025","1350000","15-May-2025"
"51","Normal/Others","WS/MP18157/2025-2026/178660-Installing tube-wells and borewells","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation 25 HP Water Borewell Pump at LIG Flats, Ward no.29, Distt. Ludhiana","03-Mar-2025","1350000","15-May-2025"
"52","Normal/Others","WS/MP18157/2025-2026/187798-Installing tube-wells and borewells","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Installation 25 HP Water Borewell Pump at Mohalla Harbanspura, Ward no.82, Distt. Ludhiana","29-Mar-2025","1350000","04-Jul-2025"
